timeindex,BB_load,BB_utility_scale_solar,BB_utility_scale_wind,BB_distributed_scale_solar 
2014-01-01 00:00:00+00:00,0.4982,0,0.866,0
2014-01-01 01:00:00+00:00,0.5195,0,0.866,0
2014-01-01 02:00:00+00:00,0.5817,0,0.87,0
2014-01-01 03:00:00+00:00,0.6566,0,0.875,0
2014-01-01 04:00:00+00:00,0.7318,0,0.874,0
2014-01-01 05:00:00+00:00,0.7625,0,0.866,0
2014-01-01 06:00:00+00:00,0.7838,0,0.859,0
2014-01-01 07:00:00+00:00,0.7954,0.022,0.86,0.022
2014-01-01 08:00:00+00:00,0.7908,0.241,0.858,0.241
2014-01-01 09:00:00+00:00,0.7687,0.444,0.843,0.444
2014-01-01 10:00:00+00:00,0.761,0.595,0.82,0.595
2014-01-01 11:00:00+00:00,0.7529,0.681,0.797,0.681
2014-01-01 12:00:00+00:00,0.7664,0.716,0.766,0.716
2014-01-01 13:00:00+00:00,0.8251,0.696,0.734,0.696
2014-01-01 14:00:00+00:00,0.8389,0.671,0.721,0.671
2014-01-01 15:00:00+00:00,0.8152,0.577,0.734,0.577
2014-01-01 16:00:00+00:00,0.7601,0.415,0.782,0.415
2014-01-01 17:00:00+00:00,0.7054,0.213,0.84,0.213
2014-01-01 18:00:00+00:00,0.6626,0.014,0.88,0.014
2014-01-01 19:00:00+00:00,0.6561,0,0.904,0
2014-01-01 20:00:00+00:00,0.6047,0,0.914,0
2014-01-01 21:00:00+00:00,0.5694,0,0.911,0
2014-01-01 22:00:00+00:00,0.5412,0,0.903,0
2014-01-01 23:00:00+00:00,0.5313,0,0.889,0
2014-01-02 00:00:00+00:00,0.5217,0,0.872,0
2014-01-02 01:00:00+00:00,0.5442,0,0.859,0
2014-01-02 02:00:00+00:00,0.6028,0,0.853,0
2014-01-02 03:00:00+00:00,0.6754,0,0.858,0
2014-01-02 04:00:00+00:00,0.745,0,0.866,0
2014-01-02 05:00:00+00:00,0.7775,0,0.868,0
2014-01-02 06:00:00+00:00,0.7968,0,0.871,0
2014-01-02 07:00:00+00:00,0.7996,0.024,0.874,0.024
2014-01-02 08:00:00+00:00,0.8,0.265,0.876,0.265
2014-01-02 09:00:00+00:00,0.7712,0.471,0.876,0.471
2014-01-02 10:00:00+00:00,0.7549,0.618,0.871,0.618
