name,bus,marginal_cost,capacity,storage_capacity,type,carrier,edges_parameters
BB_pp_SG_LSD_D14,BB_bus_el,12.68,26,,dispatchable,,
BB_pp_SG_LSD_D17,BB_bus_el,10000,17.1,,dispatchable,,
BB_pp_SG_S1,BB_bus_el,10000,20,,dispatchable,,
BB_pp_SG_S2,BB_bus_el,10000,20,,dispatchable,,
BB_pp_GR_SCGT_GT02,BB_bus_el,65.04,13,,dispatchable,,
BB_pp_SW_SCGT_GT03,BB_bus_el,25.25,13,,dispatchable,,
BB_pp_bagasse,BB_bus_el,3.19,18,,dispatchable,biomass,"{""summed_max"": 12000}"
BB_pp_anaerobic_digestion,BB_bus_el,15,5,,dispatchable,,
BB_storage_pumped_hydro,BB_bus_el,0.001,150,3000,storage,water,
BB_pp_SW_SCGT_GT06,BB_bus_el,72.2,20,,dispatchable,,
BB_excess,BB_bus_el,0,,,excess,electricity,
BB_shortage,BB_bus_el,10000,100000,,shortage,electricity,
