from;BB_utility_scale_wind;BB_utility_scale_solar;BB_distributed_scale_solar
to;BB_bus_el;BB_bus_el;BB_bus_el
type;flow;flow;flow
timeindex;;;
2014-01-01 00:00:00;91.60499999999999;0.0;0.0
2014-01-01 01:00:00;85.405;0.0;0.0
2014-01-01 02:00:00;82.305;0.0;0.0
2014-01-01 03:00:00;83.39;0.0;0.0
2014-01-01 04:00:00;91.91499999999999;0.0;0.0
2014-01-01 05:00:00;102.765;0.0;0.0
2014-01-01 06:00:00;109.585;0.0;0.0
2014-01-01 07:00:00;112.685;2.42;0.99
2014-01-01 08:00:00;121.21000000000001;26.509999999999998;10.844999999999999
2014-01-01 09:00:00;130.2;48.84;19.98
2014-01-01 10:00:00;136.4;65.45;26.775
2014-01-01 11:00:00;140.12;74.91000000000001;30.645000000000003
2014-01-01 12:00:00;141.67000000000002;78.75999999999999;32.22
2014-01-01 13:00:00;141.205;76.55999999999999;31.319999999999997
2014-01-01 14:00:00;139.965;73.81;30.195
2014-01-01 15:00:00;137.79500000000002;63.47;25.964999999999996
2014-01-01 16:00:00;135.16;45.65;18.675
2014-01-01 17:00:00;133.145;23.43;9.584999999999999
2014-01-01 18:00:00;132.215;1.54;0.63
2014-01-01 19:00:00;132.99;0.0;0.0
2014-01-01 20:00:00;134.23;0.0;0.0
2014-01-01 21:00:00;134.54;0.0;0.0
2014-01-01 22:00:00;135.005;0.0;0.0
2014-01-01 23:00:00;135.47;0.0;0.0
2014-01-02 00:00:00;135.78;0.0;0.0
2014-01-02 01:00:00;135.78;0.0;0.0
2014-01-02 02:00:00;135.005;0.0;0.0
2014-01-02 03:00:00;132.99;0.0;0.0
2014-01-02 04:00:00;131.13;0.0;0.0
2014-01-02 05:00:00;130.355;0.0;0.0
2014-01-02 06:00:00;130.82;0.0;0.0
2014-01-02 07:00:00;131.905;2.64;1.08
2014-01-02 08:00:00;134.85;29.150000000000002;11.925
2014-01-02 09:00:00;137.64000000000001;51.809999999999995;21.195
2014-01-02 10:00:00;138.88;67.98;27.81
2014-01-02 11:00:00;138.26;77.99;31.904999999999998
2014-01-02 12:00:00;136.245;82.83;33.885
2014-01-02 13:00:00;132.835;82.94;33.93
2014-01-02 14:00:00;127.72;77.88;31.86
2014-01-02 15:00:00;121.52000000000001;67.42999999999999;27.585
2014-01-02 16:00:00;115.63;50.82;20.790000000000003
2014-01-02 17:00:00;110.82499999999999;27.169999999999998;11.115
2014-01-02 18:00:00;109.11999999999999;1.9799999999999998;0.8099999999999999
