name,bus,marginal_cost,capacity,storage_capacity,type,carrier,edges_parameters
BB_pp_SG_LSD_D10,BB_bus_el,28.95,11,,dispatchable,,
BB_pp_SG_LSD_D11,BB_bus_el,28.95,11,,dispatchable,,
BB_pp_SG_LSD_D12,BB_bus_el,28.95,11,,dispatchable,,
BB_pp_SG_LSD_D13,BB_bus_el,28.95,11.5,,dispatchable,,
BB_pp_SG_LSD_D14,BB_bus_el,12.68,26,,dispatchable,,
BB_pp_SG_LSD_D15,BB_bus_el,12.68,26,,dispatchable,,
BB_pp_SG_S1,BB_bus_el,14.62,20,,dispatchable,,
BB_pp_SG_S2,BB_bus_el,14.62,20,,dispatchable,,
BB_pp_GR_SCGT_GT02,BB_bus_el,65.04,13,,dispatchable,,
BB_pp_SW_SCGT_GT03,BB_bus_el,25.25,13,,dispatchable,,
BB_pp_SW_SCGT_GT04,BB_bus_el,72.2,20,,dispatchable,,
BB_pp_SW_SCGT_GT05,BB_bus_el,72.2,20,,dispatchable,,
BB_pp_SW_SCGT_GT06,BB_bus_el,72.2,20,,dispatchable,,
BB_excess,BB_bus_el,0,,,excess,electricity,
BB_shortage,BB_bus_el,10000,100000,,shortage,electricity,
