from;BB_pp_SG_LSD_D10;BB_pp_SG_LSD_D11;BB_pp_SG_LSD_D12;BB_pp_SG_LSD_D13;BB_pp_SG_LSD_D14;BB_pp_SG_LSD_D15;BB_pp_SG_S1;BB_pp_SG_S2;BB_pp_GR_SCGT_GT02;BB_pp_SW_SCGT_GT03;BB_pp_SW_SCGT_GT04;BB_pp_SW_SCGT_GT05;BB_pp_SW_SCGT_GT06;BB_shortage
to;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el;BB_bus_el
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
timeindex;;;;;;;;;;;;;;
2014-01-01 00:00:00;0.0;7.8292401;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 01:00:00;11.0;0.0;3.813256;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 02:00:00;2.947673;0.0;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 03:00:00;0.26619659;11.0;0.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 04:00:00;8.7061411;0.0;0.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 05:00:00;0.15586671;0.0;11.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 06:00:00;0.0;9.9306089;0.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 07:00:00;1.7640991;11.0;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 08:00:00;11.0;0.31634366;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 09:00:00;11.0;2.9663354;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 10:00:00;2.9995878;11.0;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 11:00:00;11.0;11.0;0.42011293;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 12:00:00;10.482369;0.0;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 13:00:00;0.0;9.1636743;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 14:00:00;11.0;7.5976057;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 15:00:00;11.0;11.0;7.0522123;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 16:00:00;11.0;6.7451729;11.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 17:00:00;11.0;11.0;0.51027573;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 18:00:00;11.0;11.0;11.0;11.5;26.0;26.0;20.0;20.0;11.920725;13.0;0.0;0.0;0.0;0.0
2014-01-01 19:00:00;11.0;11.0;11.0;11.5;26.0;26.0;20.0;20.0;10.993947;13.0;0.0;0.0;0.0;0.0
2014-01-01 20:00:00;11.0;11.0;11.0;11.5;26.0;26.0;20.0;20.0;4.8870017;13.0;0.0;0.0;0.0;0.0
2014-01-01 21:00:00;11.0;11.0;11.0;6.6049734;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 22:00:00;11.0;11.0;11.0;1.7230913;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-01 23:00:00;11.0;4.0317788;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 00:00:00;0.0;11.0;0.0;8.3278151;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 01:00:00;0.0;3.311631;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 02:00:00;0.0;11.0;3.445973;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 03:00:00;11.0;0.0;0.26459659;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 04:00:00;0.0;8.7048761;0.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 05:00:00;0.0;0.0;0.0;11.154977;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 06:00:00;9.9299239;0.0;0.0;0.0;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 07:00:00;1.7234791;11.0;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 08:00:00;11.0;10.835904;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 09:00:00;11.0;2.4260954;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 10:00:00;2.5395078;11.0;11.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 11:00:00;11.0;10.860173;0.0;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
2014-01-02 12:00:00;11.0;0.0;9.742544;11.5;26.0;26.0;20.0;20.0;0.0;13.0;0.0;0.0;0.0;0.0
